SL.No,Ass.No,Subject,Author,Column1,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
6596,1656,"??? ???? ????? ???????
?iva p?j? vidhi? ity?di",,Tantra Mantragama,PL ,Mal,33x4.5,1 To 84,Tantra Mantragama,,,,,
6597,1657,"????? ???????
vaidya sa?graha?",,Vaidya,PL,Mal,14x4,107folios,Vaidya,9,25,Ine,GO,Script: Malayalam: Malayalam
6598,1658,"????? ???
b?lati s?ra",,Tantra Mantragama,PL,Mal,18x4,1 To 68,Tantra Mantragama,,,,,"Script: Malayalam, Language: Malayalam, Tantra Sambhandim Geometaical Picturs"
6599,1660,"???? ??????????
d?v? m?h?tmya?",,Purana,PL,Mal,14x2.5,25Folios,Purana,6,25,Ine,OD,
6600,1661,"??? ????????? ?????
m?ga nirnakka? ma?tra",,Tantra Mantragama,PL,Mal,11.5x2.5,34Folios,Tantra Mantragama,,,,,"Script: Malayalam, Language: Malayalam."
6601,1662,"????? ?????????? ????? ?????
ka??ana tiricch?n upad??a ma?tra",,Tantra Mantragama,PL,Mal,14x4,49Folios,Tantra Mantragama,,,,,
6602,1663,"????? ???????
vaidya sa?graha?",,Vaidya,PL,Mal,14.5x4.5,65folios,Vaidya,11,25,Ine,OD,""""
6603,1664,"????? ???????
vaidya sa?graha?",,Vaidya,PL,Mal,20.5x4,45folios,Vaidya,8,30,Ine,G,
6604,1665,"????? ???????
vaidya sa?graha?",,Vaidya,PL,14x4,1&60,9,Vaidya,20,9,C,G,""""
6605,1666,"??????????? ????????
gunmattini cikits?",,Vaidya,PL,Mal,33x3.5,96folios,Vaidya,7,50,Ine,OD,
6606,1667,"????? ???????
vaidya sa?graha?",,Vaidya,PL,Mal,24x3.5,228,Vaidya,8,40,Ine,ODW ,"Script: Malayalam, Language: "
6607,1668,"???????? ???? ????
ya?tr??i ?abda r??i",,Tantra Mantragama,PL,Mal,32x4.5,47Folios,Tantra Mantragama,,,,,
6608,1669,"???? ?????? ????
???a?a kriy? karma",, G- Prayoga   ,PL,Mal,27x3,111Leaves, G- Prayoga   ,5,45,Inc. ,OD.,Script : Old Malayalam Language : Old Malayalam
6609,1676,"???? ??????????
d?v? m?h?tmya?",,Purana,PL,TU,16x5,1 To 103,Purana,9,25,C,OD,From: Markandeya puranam
6610,1676/2,"???? ?????
d?v? s?kta",,Veda - Mantra,PL,TU,16x5,103 To 114,Veda - Mantra,9,25,C,OD.,
6611,1676/3,"???? ????????? ????????
d?v? a???ttara st?tra?",,Stotra,PL,TU,16x5,114 To 119,Stotra,9,25,C,OD,
6612,1676/5,"???? ???????
guru dhy?nam",,Stotra,PL,TU,16x5,131 To 136,Stotra,9,25,C ,OD,From: Rudramale
6613,1676/6,"?????? ?????? ?????
s?mav?ra arghya ma?tra",,Vaidya,PL,TU,16x5,1 To 13,Vaidya,9,25,Ine,,Rekha Chitram
6614,1677,"?????? ????????
pray?ga ratnam?l?",, G- Prayoga   ,PL,TU,35x6,1 To 230, G- Prayoga   ,13,55,C,G.,Bodha Yaniya 
6615,1688/1,"??? ??????????
m?gha m?h?tmya?",,Purana,PL,TU,31x4.5,1 To 3,Purana,8,40,Ine,O,From: Vayupurana
6616,1688/2,"??????????????? ????
n?mali?g?nu??sana? ??k?",,Nighantu,PL,TU,28x5,56folios,Nighantu,11,45,Ine,OD,""""
6617,1689,"????? ??????
dhana?jaya nigha??u",,Nighantu,PL,TU,28x4,20folios,Nighantu,11,45,Ine ,OD,
6618,1690/2,"???????? ?????
vai?vad?va ma?tra",,Veda - Mantra,PL,TU,19x4,5 To 9,Veda - Mantra,8,30,C,G.,
6619,1691/1,"??? ???? ?? ??????
?k ??kh? para kriy?",,Samhita,PL,TU,23x4,1 To 17,Samhita,7,30,Inc.,OD.,
6620,1691/2,"????????????? ????????
dak?i??m?rti st?tra?",Sankracarya,Stotra,PL,TU,23x4,11folios,Stotra,7,30,Ine,O,
6621,1692,"????? ???????
p?rva pray?ga?",, G- Prayoga   ,PL,TU,39x5,90 To 290, G- Prayoga   ,11,65,Inc.,ODW,
6622,1693/1,"?????? ???? ?????
sa?dhy? va?dana vidhi?",, G- Prayoga   ,PL,TU,18x4.5,1 To 15, G- Prayoga   ,9,20,C,Go.,
6623,1693/3,"??????? ???????
?r?ddha pray?ga?",, G- Prayoga   ,PL,TU,18x4.5,23Folios, G- Prayoga   ,9,20,Inc.,O,
6624,1695/1,"?????? ???? ????????
r?m?ya?a ca?p? vy?khy?",Bhadra Rameswara,Campu,PL ,TU,31x3.5,1 To 37,Campu,8,45,Ine,GO,
6625,1695/3,"??????? ???????
vrata?ta ratn?kara",Kedara,Chanda,PL,TU,31x3.5,13folios,Chanda,8,45,Ine,OD,
6626,1696/1,"????????? ???
bhagavadg?t? s?ra",,Gita,PL,TU,22x4.5,1 To 4,Gita,9,30,C ,G,
6627,1696/2,"????????? ??????
ka?h?pani?at bh??ya?",,Upanisat,PL,TU,22x4.5 ,2 To 15,Upanisat,9,30,Inc.,O,
6628,1697,"?????? ??????? ???????
p?rva?a ?r?ddha pray?ga?",, G- Prayoga   ,PL,TU,49x6,1 To 149, G- Prayoga   ,12,75,Inc.,OD.,
6629,1698/1,"????  ??????
a?auca  nir?aya",, G- Prayoga   ,PL,TU,22.5x4.5,1 To 20, G- Prayoga   ,13,40,C,G.,
6630,1700,"?????? ????
r?m?ya?a ca?p?",,Campu,PL,TU,36x4,56Folios,Campu,6,40,Ine,OD,
6631,1701,"??? ?????? ????
?k bh??ya? ??k?",,Samhita,PL,27x5,1to65,10,Samhita,45,Inc. ,O.,,
6632,1703,"??????? ???????
?r?ddha pray?ga?",, G- Prayoga   ,PL,TU,27x5,1 To 21, G- Prayoga   ,10,45,Inc.,Go.,
6633,1705,"???????? ??????
?ivajñ?na d?pik?",,Shaivagama,PL,TU,17x5,1 To 187,Shaivagama,13,28,C,GO,
6634,1706,"????? ????????
bh?gavata vy?khy?",,Purana,PL,TU,30x5.5,1 To 146,Purana,11,50,Ine ,Go,
6635,1707,"?????????
kuvalay?na?da",Appaiah Diksita,Alankara,PL,TU,27x6,1 To 123,Alankara,12,35,C ,GO,
6636,1708,"????????? ????????
bhagavadg?t? vy?khy?",Sridhara Swami,Gita,PL,TU,27x4,2 To 130,Gita,7,35,Inc,Go,
6637,1709,"?????????
?abdama?jari",,Vyakarana,PL,TU,22.5x4,2 To 27,Vyakarana,8,28,Ine,O,
6638,1711/1,"??????? ????
sadratna m?l?",,Ganita,PL,TU,17x5,1 To 18,Ganita,15,30,C,G,
6639,1711/11,"????  ??????
a?auca  nir?aya",, G- Prayoga   ,PL,TU,17x5,1 To 42, G- Prayoga   ,15,30,Inc,G.,
6640,1711/14,"??????? ????
sadratna m?l?",,Ganita,PL,TU,17x5,1 To 32,Ganita,15,30,Ine,GO,
6641,1711/2,"???????
mah?c?p?",,Shilpa,PL,TU,17x5,18 To 21,Shilpa,15,30,C,G,
6642,1711/4,"????????????? ????????
g?rn??ray?di v?khy?ni",,Smriti,PL,TU,17x5,25 To 28,Smriti,15,30,C,G,
6643,1711/6,"?? ???? ???????
nava graha stuti?",,Stotra,PL,TU,17x5,35 To 37,Stotra,15,30,C,G,
6644,1711/9,"?????????? ??? ???????
k?pa??stra s?ra sa?graha?",,Shilpa,PL,TU,17x5,60 To 61,Shilpa,15,30,C ,G,
6645,1713,"???????? ??????
prakriya kaumudi",Ramachandra,Vyakarana,PL,TU,25x4.5,82 To 170,Vyakarana,10,45,Ine,OD,
6646,1714,"???????? ??????????
sidd??ta mukt?va?i?",,Nyaya,PL,TU,38x5.5,1 To 69,Nyaya,12,60,Ine,OD,
6647,1715,"?????????
kuvalay?na?da",,Alankara,PL,TU,40x6,14folios,Alankara,10,65,Ine,ODW,
6648,1716/1,"?????? ????
r?m?ya?a ca?p?",,Campu,PL,TU,38x5,1 To 27,Campu,13,75,Ine,OD,
6649,1716/2,"??????? ????
lak?ma?a ca?p?",,Campu,PL ,TU,38x5,27 To 30,Campu,13,75,Ine,O,
6650,1716/3,"???? ????
sam?sa cakra",,Vyakarana,PL,TU,38x5,1 To 2,Vyakarana,13,60,Ine,GOD,
6651,1718,"???????????????
n?mali?g?nu??sana?",,Nighantu,PL,TU,23x4.5,50folios,Nighantu,8,30,Ine,OD,
6652,1719/1,"????????? ????? ?????
pa?c?k?ari mahim? var?ana",,Vrata,PL,TU,31x4,1 To 4,Vrata,8,45,C,O,
6653,1719/10,"????????????? ????????
dak?i??m?rti st?tra?",,Stotra,PL,TU,21x4.5,98 To 100,Stotra,9,50,C,G,
6654,1719/11,"??????? ??????????
k?rtika m?h?tmya?",,Purana,PL,TU,31x4.5,100 To 135,Purana,9,50,C,G,
6655,1719/12,"???????????????
a?vatthast?tra?",,Stotra,PL,TU,31x3.5,135 To 137,Stotra,9,50,C ,G,
6656,1719/13,"?????? ??????????
k?v?ri m?h?tmya?",,Purana,PL,Tu,31x4.5,137 To 161,Purana,9,50,C,G,
6657,1719/2,"?????? ???????? ?????
m?ghasita caturda?? mahim?",,Vrata,PL,TU,31x4.5,4 To 9,Vrata,9,50,C,GO,
6658,1719/3,"????????? ?????
?ivar?tri var?ana",,Vrata,PL,TU,31x4.5,9 To 15,Vrata,9,50,C,G,
6659,1719/4,"???????? ????
caturda?? p?j?",, pooja,PL,TU,31x4.5,15 To 17, pooja,9,50,c ,G,From : Brahmottarakanda
6660,1719/5,"????????? ?????
?aniprad??a mahim?",,Vrata,PL,TU,31x4.5,17 To 29,Vrata,9,50,C,G,From : Brahmottara Kanda
6661,1719/7,"??????????? ?????
??ib?ry?di mahim?",,Vrata,PL,TU,31x4.5,39 To 77,Vrata,9,50,C,G,From : Brahmottarakanda
6662,1719/9,"????????? ????????
m?tyu?jaya m?nasap?j?",, pooja,PL,TU,31x4.5,96 To 97, pooja,9,50,C,G,
6663,1720/1,"?????? ????
vin?yaka kalpa",, pooja,PL,TU,18x5.5,1 To 4, pooja,11,26,C,G,
6664,1720/2,"?????? ?????
vin?yaka vrata?",,Vrata,PL,TU,18x5.5,4 To 15,Vrata,11,26,C,G,
6665,1720/4,"???? ?????
ana?ta vrata?",,Vrata,PL,TU,18x5.5,18 To 21,Vrata,11,26,C,G,
6666,1720/6,"????? ??????
par??ara sm?ti",,Smriti,PL,TU,18x5.5,48 To 105,Smriti,11,26,C,G,
6667,1721,"????????? ??? ??????????
m?tyu?jaya h?ma ya?tr?pac?ra",,Tantra Mantragama,PL,TU,22x4,1 To 46,Tantra Mantragama,,,,,
6668,1722,"??????? ????????
mah?bh?rata t?tparya",Ananda Tirtha,Dvaita,PL,TU,33x5.5 ,1 To 239,Dvaita,12,50,Ine,OD,
6669,1723,"??????? ????????
mah?bh?rata t?tparya",,Dvaita,PL,TU,27x5.5,97 To 273,Dvaita,10,45,Ine,DW,
6670,1724,"?????? ????????????
s?mav?ra vrat?dy?pana?",,Vrata,PL,TU,42x4,1 To 19,Vrata,7,45,C,OD,
6671,1725,"?????? ??????
sad?c?ra sm?ti",Ananda Tirtha,Dvaita,PL,TU,17x5.5,1 To 94,Dvaita,8,35,Ine,GO,
6672,1726/1,"??????????
garu?apur??a?",Vyasa,Purana,PL,TU,23x4.5,1 To 60,Purana,8,30,Ine ,OD,
6673,1727,"????? ???? ?????
ga?apati p?j? vidhi?",, pooja,PL,TU,24x3,1 To 27, pooja,6,25,Inc. ,DW,
6674,1730/1,"??????? ????
pu?y?ha karma",, G- Prayoga   ,PL,TU,18.5x4,1 To 35, G- Prayoga   ,6,20,C ,OD.,
6675,1730/2,"????? ??? ?????
agni mukha jay?di",, G- Prayoga   ,PL,TU,18.5x4,37 To 52, G- Prayoga   ,6,20,C,Go.,
6676,1730/3,"???????? ??? ???????
k??m???a h?ma pray?ga?",, G- Prayoga   ,PL,TU,18.5x4,53 To 78, G- Prayoga   ,6,20,C,G.,
6677,1731,"?????????
bhagavadg?t?",,Gita,PL,TU,15x3.5,1 To 79,Gita,7,25,Ine,ODW,
6678,1732,"??????? ???????
?r?ddha pray?ga?",, G- Prayoga   ,PL,TU,14x4.5,1 To 47, G- Prayoga   ,7,20,C,Go.,
6679,1734/1,"??? ?????? ????
am? s?mav?ra p?j?",, pooja,PL,TU,20x4,1 To 11, pooja,6,20,C ,G,From : Bhavisottarapurana
6680,1735,"????? ??? ?????
pavam?na h?ma vidhi?",, G- Prayoga   ,PL,TU,17x5,1 To 23, G- Prayoga   ,10,20,C,OD.,
6681,1736,"????? ???????
t?rtha praba?dha?",Vadiraja,Dvaita,PL,TU,16x5,1 To 22,Dvaita,10,22,Ine,Go ,Purva Prabhanda
6682,1738,"????? ??? ??? ????
ga?apati h?ma p??ha p?j?",,Tantra Mantragama,PL,TU,18.5x4.5,34 To 41,Tantra Mantragama,,,,,
6683,1739/1,"????? ???? ?????
nitya karma vidhi?",, G- Prayoga   ,PL,TU,20x4,1 To 7, G- Prayoga   ,6,15,C,Go.,
6684,1739/2,"????? ????
yamun? p?j?",, pooja,PL,TU,20x4,8 To 14, pooja,6,15,C ,O,
6685,1741,"???? ?????
n??i s?kta",,Veda - Mantra,PL,TU,19x4,9Folios,Veda - Mantra,8,25,Inc,OD.,
6686,1742,"??? ?????? ????
am? s?mav?ra p?j?",, pooja,PL,TU,18x4,1 To 10, pooja,7,18,C,GO,
6687,1744,"???? ??????????
d?v? m?h?tmya?",,Purana,PL,TU,17.5x3,1 To 41,Purana,8,30,C,GO,""""
6688,1745,"??????? ?????
a?var?da ya?tra",,Tantra Mantragama,PL,TU,12x4,15 To 30,Tantra Mantragama,8,20,Ine,OD,
6689,1746,"????? ????
??rad? p?j?",, pooja,PL,TU,20x3.5,6Folios, pooja,5,23,Inc.,OD,
6690,1747/2,"????? ????? ?????? ???
agni m??ika v?stu ?la?",,Tantra Mantragama,PL,TU,28x4.5,29 To 32,Tantra Mantragama,8,25,C,O,
6691,1747/3,"???????? ?????
??ipa?cam? vrata?",,Vrata,PL,TU,28x4.5,33 To 46,Vrata,8,25,C,G,
6692,1747/4,"????????????
d?m?dar???aka?",,Stotra,PL,TU,28x4.5,47,Stotra,8,25,C ,G,
6693,1747/5,"???? ??????
da?ami nir?aya",, G- Prayoga   ,PL,TU,28x4.5,48 To 49, G- Prayoga   ,8,25,C,G.,
6694,1747/7,"???????????????
n?mali?g?nu??sana?",,Nighantu,PL,TU,28x4.5,59 To 152,Nighantu,8,25,C,GO,
6695,1748/1,"???? ?????? ????
???a?a kriy? karma",, G- Prayoga   ,PL,TU,20.5x5,1 To 94, G- Prayoga   ,9,25,C,OD,
6696,1748/2,"???? ?????
ku??a lak?a?a",,Tantra Mantragama,PL,TU,20.5x5,95 To 101,Tantra Mantragama,,,,,
6697,1748/3,"??????? ????
pu?y?ha v?cana",, G- Prayoga   ,PL,21x5,20.5x5 ,102 To 105, G- Prayoga   ,9,25,C,G.,
6698,1749/10,"?????? ???????? ????????
durg? sahasran?ma st?tra?",,Stotra,PL,TU,33x6,36 To 43,Stotra,10,40,Ine ,GO,
6699,1749/11,"?????????????? ????????
durg????ttara st?tra?",,Stotra,PL,TU,33x6,44 To 45,Stotra,10,40,Ine ,OD,
6700,1749/6,"????????? ???? ?????
?ivar?tri p?j? vidhi?",, pooja,PL,TU,33x6,3 To 5, pooja,10,40,C,G,From Skandapurana
6701,1749/7,"???????? ????
??ipa?cam? p?j?",, pooja,PL,TU,33x6,5 To 9, pooja,10,40,C ,G,
6702,1749/8,"???????? ????????
??ipa?cam? udy?pana?",,Vrata,PL,TU,33x6,10,Vrata,10,40,C,G,
6703,1750/38,"????? ????? ?????? ???
agni m??ika v?stu ?la?",,Tantra Mantragama,PL,TU,33x5,36,Tantra Mantragama,10,45,C,GO,
6704,1750/53,"???? ?????
arka viv?ha",, G- Prayoga   ,PL,TU,33x5,50 To 53, G- Prayoga   ,10,45,C,Go.,
6705,1750/58,"????? ???? ?????
sahasra bh?jana vidhi?",, G- Prayoga   ,PL,TU,33x5,54 To 59, G- Prayoga   ,10,45,C ,O,
6706,1752/1,"???????? ??????????? ?????
gulmar?ga pratikriy? vidhi?",,Vaidya,PL,TU,27x5,2 To 20,Vaidya,11,40,Ine,O,"Script: Tulu, Language: Kannada"
6707,1753,"??????? ???????
pu?y?ha pray?ga?",, G- Prayoga   ,PL,21x5,30x3.5,20leaves, G- Prayoga   ,5,30,Inc.,OD.,
6708,1754,"????????? ??????? ???????
sapi???kara?a ?r?ddha pray?ga?",, G- Prayoga   ,PL,TU,27x4.5,1 To 33, G- Prayoga   ,8,30,Inc.,OD.,
6709,1755,"???? ????? ?????
sarva ta?tra ma?tra",,Vaidya,PL,TU,23x5,12 To 37,Vaidya,9,35,Ine,O,
6710,1756/1,"????????? ?????
m?tyu?jaya ma?tra",,Tantra Mantragama,PL,TU,22x4.5,1 To 13,Tantra Mantragama,,,,,
6711,1756/2,"???????????????????
yajñ?pav?tam?h?tmya?",Vyasah,Purana,PL,TU,22x4.5,1 To 3,Purana,7,25,C,GO,From: Kurma Purana
6712,1757,"????????? ????
???a??pac?ra p?j?",, pooja,PL,TU,17x3.5,1 To 49, pooja,5,20,C,OD,
6713,1760,"?????????
bhagavadg?t?",,Gita,PL,TU,11x5,1 To 71,Gita,12,15,C,OD,
6714,1761/1,"????? ????
yamun? p?j?",, pooja,PL,TU,13x5,1 To 14, pooja,12,25,C,OD,
6715,1761/2,"???????? ??????????
ana?tavrata m?h?tmya?",Vyasa,Purana,PL,TU,13x5,5 To 43,Purana,12,25,C,O,From: Bhavisottara Purna
6716,1762,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,TU,35x5,1 To 165,Samhita,10,45,Inc.,G.,"V, VI Astaka"
6717,1763,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,TU,40x5.5,1 To 182,Samhita,12,55,Inc.,G.,Scribe to Nnsimhasarmana to I II III IV Astaka
6718,1764,"?????? ???????
pray?ga p?rij?ta",??????, G- Prayoga   ,PL,TU,47x5,1 To 220, G- Prayoga   ,11,80,Inc.,Go.,
6719,1766,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,TU,37x6,1 To 195,Samhita,12,60,Inc.,Go.,V VI VII Astaka
6720,1767/1,"??????? ??????????
k?rtika m?h?tmya?",,Purana,PL,TU,34x5,1 To 31,Purana,15,55,C,OD,""""
6721,1767/2,"???????????????
vai??kham?h?tmya?",Vyasa,Purana,PL,Tu,34x5,107 To 148,Purana,15,55,C,O,From: Padma Purana
6722,1767/3,"??? ??????????
m?gha m?h?tmya?",Vyasa,Purana,PL,TU,34x5,68 To 107,Purana,15,35,C,GO,
6723,1767/4,"???????????????
vai??kham?h?tmya?",Vyasa,Purana,PL,Tu,34x5,107 To 148,Purana,15,55,C,O ,From: Skanda Purana
6724,1767/5,"??? ??????????
m?gha m?h?tmya?",Vyasa,Purana,PL,TU,34x5,149 To 203,Purana,15,55,C,G,From: Vayu Purana
6725,1767/6,"??? ??????????
m?gha m?h?tmya?",Vyasa,Purana,PL,TU,34x5,204 To 238,Purana,15,55,C,OD,From: Padmapurana
6726,1768,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,TU,51x6.5,1 To 117,Samhita,12,80,Inc.,Go.,V VI VII VIII Astaka
6727,1769,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,TU,40x5.5,1 To 201,Samhita,10,35,Inc.,Go.,
6728,1770,"??????? ?????
?ivap?j? vidhi?",, pooja,PL,TU,27x4.5,1 To 41, pooja,10,35,C ,GO,From : Lingapurana
6729,1770,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,TU,46x4.5,1 To 213,Samhita,10,75,C,OD.,
6730,1771,"???????????????
?dy?tmar?m?ya?a?",,Itihasa,PL,TU,36.5x5,1 To 141,Itihasa,10,50,C,ODW,
6731,1772,"??? ???????
apara pray?ga?",, G- Prayoga   ,PL,TU,23x6,1 To 60, G- Prayoga   ,11,25,C,G.,
6732,1773,"??????? ???????
?r?ddha pray?ga?",, G- Prayoga   ,PL,TU,26.5x5,1 To 32, G- Prayoga   ,7,35,C,Go.,
6733,1774/1,"????? ???? ???????
p?rva ???a?a pray?ga?",, G- Prayoga   ,PL,TU,20x5,1 To 71, G- Prayoga   ,8,30,C,O,
6734,1774/2,"???????? ????? ?????? 
??val?yana g?hya s?tra? ",????????,Grahyasutra,TU,19x5.5,20x5,1 To 13,Grahyasutra,8,30,Inc.,Go.,
6735,1774/3,"?????? ???????
udaku?bha ?r?ddha",, G- Prayoga   ,PL,TU,20x5,123 To 136, G- Prayoga   ,8,30,Inc.,G.,
6736,1775,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,TU,27x5,1 To 143,Samhita,8,40,Inc.,OD.,I II III Astaka
6737,1776,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,TU,35x5,1.38,Samhita,11,60,C,OD,
6738,1778,"????? ??? ?????
pavam?na h?ma vidhi?",, G- Prayoga   ,PL,TU,30x5,1 To 49, G- Prayoga   ,8,40,C,G.,
6739,1779/1,"?????? ?????
vi??u s?kta",,Veda - Mantra,PL,TU,21x5,1 To 4,Veda - Mantra,10,25,C,OD.,
6740,1779/10,"????? ?????
puru?a s?kta",,Veda - Mantra,PL,TU,21x5,29 To 30,Veda - Mantra,10,25,C,Go.,
6741,1779/11,"?? ?????
g? s?kta",,Veda - Mantra,PL,TU,21x5,30 To 31,Veda - Mantra,10,25,C,Go.,
6742,1779/12,"????? ?????
agni s?kta",,Veda - Mantra,PL,TU,21x5,31.33,Veda - Mantra,10,25,C,Go.,
6743,1779/14,"????? ?????
ga?apati s?kta",,Veda - Mantra,PL,TU,21x5,42 To 43,Veda - Mantra,10,25,C,Go.,
6744,1779/15,"??????? ?????
lak?m? s?kta",,Veda - Mantra,PL,TU,21x5,44 To 46,Veda - Mantra,10,25,C,Go.,
6745,1779/16,"????????
?ps?kta",,Veda - Mantra,PL,TU,21x5,47,Veda - Mantra,10,25,C,G.,
6746,1779/17,"????? ?????
manyu s?kta",,Veda - Mantra,PL,TU,21x5,47 To 49,Veda - Mantra,10,25,C ,Go.,
6747,1779/18,"??? ?????
gh?ta s?kta",,Veda - Mantra,PL,TU,21x5,49 To 50,Veda - Mantra,10,25,C ,Go.,
6748,1779/19,"?????? ?????
m?rjana ma?tra",,Veda - Mantra,PL,TU,21x5,50 To 53,Veda - Mantra,10,25,C,G. ,
6749,1779/20,"???? ?????
?r? s?kta",,Veda - Mantra,PL,TU,21x5,53 To 55,Veda - Mantra,10,25,C,Go.,
6750,1779/21,"?????? ?????
hira?ya s?kta",,Veda - Mantra,PL,TU,21x5,55 To 56,Veda - Mantra,10,25,C ,Go.,
6751,1779/22,"?????? ?????
n?r?ya?a s?kta",,Veda - Mantra,PL,TU,21x5,56 To 1 To 57,Veda - Mantra,10,25,C,Go.,
6752,1779/23,"??????? ???
saubh?gya ?k",,Veda - Mantra,PL,TU,21x5,57 To 66,Veda - Mantra,10,25,C,Go.,
6753,1779/24,"?????????
annas?kta",,Veda - Mantra,PL,TU,21x5,66 To 1 To 74,Veda - Mantra,10,25,C,Go.,
6754,1779/25,"????????
ahi?rava?a",,Veda - Mantra,PL,TU,21x5,74 To 1 To 79,Veda - Mantra,10,25,C ,Go.,
6755,1779/3,"??????
mah?saura",,Veda - Mantra,PL,TU,21x5,9 To 13,Veda - Mantra,10,25,C,O,
6756,1779/4,"????????
haris?kta",,Veda - Mantra,PL,TU,21x5,13 To 14,Veda - Mantra,10,25,C,G.,
6757,1779/5,"????? ?????
da??di s?kta",,Veda - Mantra,PL,TU,21x5,14 To 1 To 16,Veda - Mantra,10,25,C,Go.,
6758,1779/6,"??????? ?????
sarasvat? s?kta",,Veda - Mantra,PL,35x5,21x5,16 To 20,Veda - Mantra,10,25,C,Go.,
6759,1779/7,"???? ?????
v?mana s?kta",,Veda - Mantra,PL,TU,21x5,20 To 24,Veda - Mantra,10,25,C,Go.,
6760,1779/8,"?????? ?????
?ditya s?kta",,Veda - Mantra,PL,TU,21x5,24 To 1 To 25,Veda - Mantra,10,25,C,Go.,
6761,1779/9,"????? ????
s?rya varga",,Veda - Mantra,PL,TU,21x5,25 To 28,Veda - Mantra,10,25,C,G.,
6762,1780/1,"?????? ?????
vin?yaka vrata?",,Vrata,PL,TU,20x4.5,1 To 39,Vrata,7,20,C,GO,From : Skandapurana
6763,1780/10,"???????? ????
??ipa?cam? p?j?",, pooja,PL,TU,20x4.5,130 To 145, pooja,7,20,C ,G,
6764,1780/12,"?????????? ?????
satyan?r?ya?a vrata?",,Vrata,PL,TU,20x4.5,160 To 177,Vrata,7,20,C ,G,
6765,1780/2,"???? ?????
ana?ta vrata?",,Vrata,PL,TU,20x4.5,40 To 49,Vrata,7,20,C,G,
6766,1780/3,"???? ????
ana?ta kalpa",, pooja,PL,TU,20x4.5,49 To 73, pooja,7,20,C,G,
6767,1780/5,"?????????? ?????
svar?agaur? vrata?",,Vrata,PL,TU,20x4.5,89 To 98,Vrata,7,20,C,G,
6768,1780/7,"?????? ????????? ?????
s?mav?ra am?v?sy? vrata?",,Vrata,PL,TU,20x4.5 ,104 To 113,Vrata,7,20,C,G,
6769,1780/9,"???????? ?????
??ipa?cam? vrata?",,Vrata,PL,TU,20x4.5,119 To 130,Vrata,7,20,C ,G,
6770,1781,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,TU,19x4,1 To 119,Samhita,10,20,Inc,O,I Astaka
6771,1782,"????????? ??????? ???????
sm?tis?ra sarvasva sam?khy?",Venkatesh,Smriti,PL,""" ",19x4,1 To 133,Smriti,11,30,C,O,
6772,1782,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,TU,27x5,146 To 209,Samhita,9,35,Inc.,OD,
6773,1783,"???????????????
n?mali?g?nu??sana?",,Nighantu,PL,TU,25x4,1 To 88,Nighantu,8,35,Ine,OD,
6774,1784,"???????? ????? ?????? 
??val?yana g?hya s?tra? ",,Grahyasutra,TU,19x5.5,1to28,10,Grahyasutra,15,Inc.,Go.,,
6775,1785,"??????? ???????
?r?ddha pray?ga?",, G- Prayoga   ,PL,TU,38x3.5,52Leaves, G- Prayoga   ,6,30,Inc.,OD.,
6776,1786/10,"????? ????
savit? p?j?",, pooja,PL,TU,31x5,45 To 46, pooja,10,35,C ,ODW,
6777,1786/11,"?????? ????
durg? p?j?",, pooja,PL,TU,31x5,46 To 48, pooja,10,35,Inc.,OD,
6778,1786/12,"????? ????
i?dra p?j?",, pooja,PL,TU,31x5,48 To 49, pooja,10,35,Inc.,OD,
6779,1786/13,"????? ????
agni p?j?",, pooja,PL,TU,31x5,49 To , pooja,10,35,Inc.,OD,
6780,1786/14,"???????? ????
trya?baka p?j?",, pooja,PL,TU,31x5,49 To , pooja,10,35,Inc. ,OD,
6781,1786/15,"?????????? ????
g?p?lak???a p?j?",, pooja,PL,TU,31x5,49 To 50, pooja,10,35,Inc.,OD,
6782,1786/16,"????????????? ????
lak?m?n?r?ya?a p?j?",, pooja,PL,TU,31x5,50 To 51, pooja,10,35,Inc.,OD,
6783,1786/17,"??????? ????
mah??vara p?j?",, pooja,PL,TU,31x5,51 To 53, pooja,10,35,Inc. ,ODW,
6784,1786/18,"?????? ????
brahma p?j?",, pooja,PL,Tu,31x5,53 To 59, pooja,10,35,Inc. ,OD,
6785,1786/2,"?? ??????? ?????? ????
vara caturth? vin?yaka p?j?",, pooja,PL,TU,31x4,1 To 8, pooja,10,35,Inc.,ODW,From : Skanda Purana
6786,1786/3,"????????? ?????
varalak?m? vrata?",,Vrata,PL,TU,31x4,8 To 17,Vrata,10,35,Inc.,OD,From : Bhavisottarapurana
6787,1786/4,"???? ?????
ana?ta vrata?",,Vrata,PL,TU,31x4,18 To 24,Vrata,10,35,C,O,
