Sl.No,Ass.No,Name ,Author,Column2,Subject,Material,lang,Size,No.of F,N.of/pg,l/line,extent,condetions,info,,
130,36,????? ??????? - ??????,???????,Anubhava shikhamani - virashaiva,Kavya,PL,Knn,30x5,1&110,9,45,C,G,"¨sÁµÉ: ¸ÀA¸ÀÌøvÀ ±ÀPÀ: 1756, dAiÀÄ¸ÀA. ªÉÊ±ÁR §. 10 ¸ÉÆÃªÀÄªÁgÀ °¦PÁgÀ: PÀ®èöåAqÀ",,
131,36,???????? ????? - ??????,????? ?????????,Raghavamkana kavya - virashaiva,Kavya,P,Knn,30x14,1&121,13,55,C,G,§tÚzÀ ºÀ°UÉ,,
132,37,??? ????? - ??????,??????,Basava purana - virashaiva,Kavya,P,Knn,32x10,1&285,9,40,C,G,,,
133,37,?????????? – ??????,????? ????????,Mantragopya – virashaiva,Tantra-mantra-agama,PL,Knn,27x6,210&224,14,55,Inc,O/D. OÄ,1430,,
134,38,??? ????? - ??????,??????,Basava purana - virashaiva,Kavya,P,Knn,32x16,1&458,8,30,C,G/O,,,
135,38/1,?????????? – ??????,???????? ?????,Mamtragopya – virashaiva,Vacana,PL,Knn,27.5x6,49&59,14,70,C,G,,,
136,38/1,???????? - ??????,,Karanahasig - virashaiva,Extra,PL,Knn,27.5x6,1&5,14,70,C,G,,,
137,38/2,?????????? – ??????,???????? ?????,Mishrarpana – virashaiva,Vacana,PL,Knn,27.5x6,5&7,14,70,C,G,,,
138,38/3,??????? – ??????,??????????,Pamchikarana – virashaiva,Kavya,PL,Knn,27.5x6,7&10,14,70,C,G,,,
139,38/4,????????? – ??????,???????????,Srrishtivachana – virashaiva,Vacana,PL,Knn,27.5x6,10,14,70,C,G,,,
140,38/5,????????? – ??????,???????? ,Srrishtivachana – virashaiva,Vacana,PL,Knn,27.5x6,11&,14,70,C,G,,,
141,38/6,??????? ?????? - ??????,???????????,Ekottara shatasthala - virashaiva,Kavya,PL,Knn,27.5x6,12&36,14,70,C,G,,,
142,38/7,??????????????? – ??????,???????? ,Hiriyamamtragopya – virashaiva,Vacana,PL,Knn,27.5x6,37&45,14,70,C,G,,,
143,38/8,???????????? – ??????,???????? ?????,Padamamtragopya – virashaiva,Vacana,PL,Knn,27.5x6,45&46,14,70,C,G,,,
144,38/9,?????????? – ??????,???????? ,Mamtragopya – virashaiva,Vacana,PL,Knn,27.5x6,47&48,14,70,C,G,,,
145,39,??????????? ????? - ??????, ???? ???,Chorabasaveshvara kavya - virashaiva,Kavya,P,Knn,34x10.5,1&16,9,40,Inc,O,,,
146,39/1,?????? ??????? ????????? – ???,????????,Mahimna stotra vyakhyana – jaina,Stotra,PL,Knn,22x5,1&24,8,36,C,G,,,
147,39/2,????? ???????,?????,Malhana stotra,Stotra,PL,Knn,22x5,25&52,8,36,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
148,39/3,???????????? – ??????,,Malayarajastuti – virashaiva,Stotra,PL,Knn,22x5,53&83,8,36,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
149,39/4,??????? ???,???,Shishupala vadh,Kavya,PL,Knn,22x5,1&10,8,36,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ ¥ÀæxÀªÀÄ ¸ÀUÀğ 13 ±ÉÆèÃPÀUÀ¼ÀÄ,,
150,40,??????????? ??????? - ??????, ???? ???,Chorabasaveshvara charitr - virashaiva,Kavya,P,Knn,32x14,1&84,9,40,C,O,,,
151,40,???????? ??????,??????? ???????,Siddhamta kaumudi,Vyakarana,PL,Knn,25x4.5,1&62,7,35,Inc,O/D/W,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
152,41,????????????? - ??????,?????,Prabhulimgalil - virashaiva,Kavya,PL,Knn,30x5.5,3&34,11,85,Inc,O/D,,,
153,41/1,??????? ???? - ??????,??????? ???,Virabhadra vijaya - virashaiva,Kavya,P,Knn,34x10.5,1&91,9,50,C,G,±ÀPÀ 1802 «PÀæªÀÄ £ÁªÀÄ ¸ÀA. ¨sÁzÀæ¥ÀzÀ±ÀÄzÀŞ 10 ¨sËªÀÄäªÁgÀ,,
154,41/2,??? ???? ????? - ??????,?????? ???,Shabara shamkara vilasa - virashaiva,Kavya,P,Knn,34x10.5,1&54,9,50,C,G,°¦PÁgÀ: PÀ£ÀPÀVj «gÀÆ¥ÁPÀë,,
155,41/2,??????????? ??? – ??????,,Samadhikriya vachana – virashaiva,Vacana,PL,Knn,13x4,102&113,8,30,Inc,D,,,
156,42,??????? ???? - ??????,??????? ???,Virabhadra vijaya - virashaiva,Kavya,P,Knn,32x10,1&81,9,50,Inc,G,,,
157,42,??????? ???????? – ??????,?????? ?????????,Ganabhashita ratnamal – virashaiva,Vacana,PL,Knn,26x3.5,1&143,4,35,Inc,O/D,,,
