SL.No,Ass.No,Subject,Author,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
7266,1977/75,"?????? ??????? ??????
a?l??a nak?atra ???ti?",,pl,N.Na,38x3,174&174&1,Shanti,5,65,C   ,G /O,
7267,1977/76,"??? ??????? ??????
m?gha nak?atra ???ti?",,pl,N.Na,38x3,174&1&175,Shanti,5,65,C   ,G /O,
7268,1977/77,"????? ??????? 
p?rva p?lgu?a ",,pl,N.Na,38x3,176&,Shanti,5,65,C   ,G/O ,
7269,1977/78,"????? ?????????
uttara p?lgu?ya",,pl,N.Na,38x3,176&1&177,Shanti,5,65,,,
7270,1977/79,"???? ??????? ??????
hasta nak?atra ???ti?",,pl,N.Na,38x3,177&1&178,Shanti,5,65,C   ,G ,
7271,1977/8,"?????? ????? ???
m?tyu mahi?i d?na",,pl,N.Na,38x3,27&28&1,Shanti,5,65,C   ,O/D ,?????
7272,1977/80,"??????? ??????? ??????
citr?ya nak?atra ???ti?",,pl,N.Na,38x3,178&179,Shanti,5,65,C   ,G ,
7273,1977/81,"?????? ??????? ??????
svatya nak?atra ???ti?",,pl,N.Na,38x3,179&,Shanti,5,65,C   ,G /O,
7274,1977/82,"????? ??????? ??????
vi??kha nak?atra ???ti?",,pl,N.Na,38x3,179&1&180,Shanti,5,65,C   ,G ,
7275,1977/83,"?????? ??????? ??????
anur?dha nak?atra ???ti?",,pl,N.Na,38x3,180&1&181,Shanti,5,65,C   ,G /O,
7276,1977/84,"????? ??????? ??????
j???ha nak?atra ???ti?",,pl,N.Na,38x3,181&182,Shanti,5,65,C   ,G /O,
7277,1977/85,"??? ??????? ??????
m?la nak?atra ???ti?",,pl,N.Na,38x3,182&,Shanti,5,65,C   ,O,
7278,1977/86,"????????? ??????? ??????
p?rv????a nak?atra ???ti?",,pl,N.Na,38x3,182&1&183,Shanti,5,65,C   ,G /O,
7279,1977/87,"????????? ??????? ??????
uttar????ha nak?atra ???ti?",,pl,N.Na,38x3,183&1&185,Shanti,5,65,C   ,O/D ,
7280,1977/88,"????? ??????? ??????
vi??kha nak?atra ???ti?",,pl,N.Na,38x3,185&187,Shanti,5,65,C   ,G ,
7281,1977/89,"????? ???? ??????
p?rva bhadra ???ti?",,pl,N.Na,38x3,187&1&188,Shanti,5,65,C   ,O,
